Dataset,Percentil,Nodos en Núcleo,F1 Score Medio,F1 Score Std
Cora,90,286,0.6573426573426574,0.01441645323642537
Cora,95,147,0.6278911564625851,0.02472487325902889
Cora,97,82,0.5817073170731708,0.02888468117640733
Cora,99,29,0.5758620689655173,0.04094600719668246
Citeseer,90,339,0.7823008849557522,0.016253660547440582
Citeseer,95,168,0.7440476190476191,0.023358829607557863
Citeseer,97,111,0.7234234234234235,0.025176916418886707
Citeseer,99,38,0.6710526315789473,0.05027624519616525
Pubmed,90,655,0.7392366412213741,0.009381552058465449
Pubmed,95,315,0.6917460317460318,0.011916396431189502
Pubmed,97,190,0.6573684210526316,0.019042160542237424
Pubmed,99,60,0.6816666666666666,0.030230595245361758
